"animalID","season","date","area","observer","withpup","age","birth_date","precision"
13808,2004,2004-02-03,"BMS","P. Morris, R. Condit","1",9,2004-01-13,2
13808,2004,2004-02-05,"BMS","P. Morris, R. Condit","1",9,2004-01-13,2
11842,2004,2004-01-06,"TSC","P. Morris, R. Condit","0",13,2004-01-11,1
11842,2004,2004-01-06,"TSC","P. Morris, R. Condit","0",13,2004-01-11,1
11842,2004,2004-01-07,"TSC","P. Morris, R. Condit","0",13,2004-01-11,1
11842,2004,2004-01-08,"TSC","P. Morris, R. Condit","0",13,2004-01-11,1
11842,2004,2004-01-10,"TSC","P. Morris, R. Condit","0",13,2004-01-11,1
11842,2004,2004-01-11,"TSC","P. Morris, R. Condit","1",13,2004-01-11,1
11842,2004,2004-01-12,"TSC","P. Morris, R. Condit","1",13,2004-01-11,1
11842,2004,2004-01-18,"TSC","P. Morris, R. Condit","1",13,2004-01-11,1
11842,2004,2004-01-21,"TSC","P. Morris, R. Condit","1",13,2004-01-11,1
11842,2004,2004-01-25,"TSC","P. Morris, R. Condit","1",13,2004-01-11,1
11842,2004,2004-01-26,"TSC","P. Morris, R. Condit","1",13,2004-01-11,1
11842,2004,2004-01-28,"TSC","P. Morris, R. Condit","1",13,2004-01-11,1
11842,2004,2004-01-29,"TSC","P. Morris, R. Condit","1",13,2004-01-11,1
11842,2004,2004-01-31,"TSC","P. Morris, R. Condit","1",13,2004-01-11,1
11842,2004,2004-02-01,"TSC","P. Morris, R. Condit","1",13,2004-01-11,1
11842,2004,2004-02-03,"TSC","P. Morris, R. Condit","1",13,2004-01-11,1
15850,2004,2004-01-06,"TSC","P. Morris, R. Condit","1",6,2004-01-06,NA
15850,2004,2004-01-06,"TSC","P. Morris, R. Condit","1",6,2004-01-06,NA
15850,2004,2004-01-07,"TSC","P. Morris, R. Condit","1",6,2004-01-06,NA
15850,2004,2004-01-08,"TSC","P. Morris, R. Condit","1",6,2004-01-06,NA
15850,2004,2004-01-10,"TSC","P. Morris, R. Condit","0",6,2004-01-06,NA
15850,2004,2004-01-11,"TSC","P. Morris, R. Condit","1",6,2004-01-06,NA
15850,2004,2004-01-13,"TSC","P. Morris, R. Condit","1",6,2004-01-06,NA
15850,2004,2004-01-18,"TSC","P. Morris, R. Condit","1",6,2004-01-06,NA
15850,2004,2004-01-19,"TSC","P. Morris, R. Condit","1",6,2004-01-06,NA
15850,2004,2004-01-21,"TSC","P. Morris, R. Condit","1",6,2004-01-06,NA
15850,2004,2004-01-21,"TSC","P. Morris, R. Condit","1",6,2004-01-06,NA
15850,2004,2004-01-23,"TSC","P. Morris, R. Condit","1",6,2004-01-06,NA
