YY,MM,DD,hh,WD,WSPD GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS
1999,1,10,14,54,6.2  7.2,1.51,16.67,6.39,279,1019.6,11.3,11.3,999,99
1999,1,10,15,37,6.2  7.7,1.64,16.67,7.16,274,1020.3,11.3,11.2,999,99
1999,1,10,16,7,4.2  5.0,1.57,16.67,7.36,275,1020.6,11.4,11,999,99
1999,1,10,17,35,4.3  5.0,2.03,16.67,9.44,284,1021,11,11,999,99
1999,1,10,18,61,6.0  7.3,1.87,16.67,8.64,280,1020.9,11.7,11,999,99
1999,1,10,19,56,5.4  6.8,1.93,16.67,8.65,272,1020.8,11.3,11.3,999,99
1999,1,10,20,60,4.3  5.1,2.09,16.67,9.26,276,1020,11.3,11.3,999,99
1999,1,10,21,88,3.1  4.0,1.87,16.67,9.57,278,1019.1,12,11.3,999,99
1999,1,10,22,55,1.3  2.1,1.9,16.67,11.4,280,1018.5,12.2,11.4,999,99
1999,1,10,23,38,1.0  1.5,1.85,16.67,11.15,283,1018.1,12.6,11.7,999,99
1999,1,11,0,300,.6  1.0,1.91,16.67,11.56,276,1018.1,12.9,11.7,999,99
1999,1,11,1,302,.9  1.4,1.88,16.67,11.92,274,1018.1,11.8,11.7,999,99
1999,1,11,2,346,.7  1.0,1.87,16.67,11.9,276,1018.2,11.3,11.4,999,99
1999,1,11,3,313,1.7  2.5,2.03,20,13.12,278,1018.8,11.2,11.4,999,99
1999,1,11,4,318,2.0  2.6,2.41,16.67,13.56,276,1018.9,11.3,11.3,999,99
1999,1,11,5,308,3.1  3.9,2.16,16.67,12.84,282,1018.9,11,11.3,999,99
1999,1,11,6,4,1.4  1.7,2.12,14.29,12.55,277,1018.9,11.4,11.3,999,99
1999,1,11,7,270,1.0  1.9,2.14,16.67,12.86,278,1019,11,11.3,999,99
1999,1,11,8,345,1.6  2.4,2.34,16.67,13.33,278,1018.1,10.9,11.3,999,99
